feature,importance,importance_share
location,0.21631203137803823,0.2163120250573477
humidity_3pm,0.1867946833372116,0.1867946778790252
moisture_stability_3pm,0.138853520154953,0.13885351609761915
rain_today,0.05130091495811939,0.05130091345909409
dew_point_spread_3pm,0.036068737506866455,0.03606873645292911
sunshine,0.023980244994163513,0.02398024429345488
wind_gust_speed,0.018374737352132797,0.018374736815218472
rainfall,0.016580458730459213,0.016580458245974147
cloud_humidity_3pm_interaction,0.015149036422371864,0.01514903597971331
pressure_3pm,0.01483697909861803,0.014836978665077867
pressure_humidity_3pm_ratio,0.010907908901572227,0.010907908582840457
cloud_3pm,0.010659381747245789,0.010659381435776043
pressure_overnight_change,0.0104989567771554,0.01049895647037331
humidity_temp_3pm_interaction,0.008610601536929607,0.008610601285325722
wind_dir_3pm_x,0.00844839308410883,0.008448392837244714
ncc_zone,0.00708227651193738,0.007082276304991525
dewpoint_3pm,0.00684317946434021,0.00684317926438083
warming_day,0.006817823275923729,0.006817823076705263
pressure_9am,0.006236055865883827,0.006236055683664747
temp_range,0.0061431992799043655,0.006143199100398578
pressure_day_diff,0.006067914422601461,0.0060679142452955154
cloud_3pm_missing,0.005878318101167679,0.005878317929401784
humidity_overnight_change,0.00557469017803669,0.005574690015142878
wind_dir_3pm_y,0.005509645212441683,0.0055096450514485005
humidity_9am,0.005296142306178808,0.005296142151424233
wind_dir_9am_x,0.005159218329936266,0.005159218179182643
day_of_year_cos,0.004718733485788107,0.004718733347905559
sunshine_missing,0.0046517932787537575,0.004651793142827218
rain_today_streak_7,0.00458250567317009,0.004582505539268152
evaporation_missing,0.004425408318638802,0.004425408189327287
wind_speed_3pm,0.0043564364314079285,0.004356436304111789
humidity_rising_fast,0.004307204857468605,0.004307204731611024
pressure_3pm_yesterday,0.004303721711039543,0.004303721585283741
temp_9am,0.004265757277607918,0.004265757152961445
max_temp,0.004216719418764114,0.0042167192955505405
days_since_rain_1mm,0.004181120544672012,0.004181120422498646
temp_3pm_roll7_mean,0.0041594719514250755,0.004159471829884286
pressure_humidity_9am_ratio,0.00411040848121047,0.004110408361103327
dewpoint_9am,0.004105373285710812,0.004105373165750798
humidity_temp_9am_interaction,0.00409769406542182,0.0040976939456861955
humidity_day_diff,0.004090566188097,0.004090566068569655
cloud_9am_missing,0.0040211924351751804,0.004021192317674953
humidity_3pm_roll3_mean,0.003996118437498808,0.003996118320731249
day_of_year_sin,0.003942507319152355,0.003942507203951326
humidity_3pm_roll7_mean,0.0038981193210929632,0.003898119207188962
temp_day_diff,0.0038416855968534946,0.0038416854845985007
wind_gust_speed_roll7_mean,0.0038061710074543953,0.0038061708962371463
wind_shift_score,0.0037743907887488604,0.003774390678460237
cloud_day_diff,0.003770281793549657,0.0037702816833810994
temp_3pm,0.003657500958070159,0.003657500851197085
min_temp,0.0036506308242678642,0.0036506307175955374
temp_3pm_roll3_mean,0.0035758328158408403,0.00357583271135413
rainfall_roll7_sum,0.0034914505667984486,0.0034914504647774076
wind_dir_9am_y,0.0034893311094492674,0.003489331007490158
pressure_fall,0.0034842609893530607,0.0034842608875421013
dew_point_spread_9am,0.003407639916986227,0.0034076398174141542
cloud_9am,0.0034044308122247458,0.0034044307127464434
rainfall_roll3_mean,0.0033534676767885685,0.0033534675787994218
rainfall_prev_1d,0.0033035012893378735,0.0033035011928087567
pressure_3pm_roll7_mean,0.003269868204370141,0.003269868108823791
temp_overnight_change,0.003231765003874898,0.003231764909441933
rainfall_roll7_max,0.0032065664418041706,0.003206566348107514
wind_gust_speed_roll3_mean,0.0031771226786077023,0.0031771225857713994
cloud_3pm_yesterday,0.003124227747321129,0.003124227656030429
wind_speed_9am,0.0031152854207903147,0.0031152853297609115
wind_speed_day_diff,0.0029825400561094284,0.0029825399689588773
evaporation,0.0029087942093610764,0.002908794124365397
rainfall_yesterday,0.002774912863969803,0.002774912782886169
pressure_3pm_roll3_mean,0.0027571897953748703,0.002757189714809109
rain_today_streak_3,0.00261671538464725,0.0026167153081861857
temp_3pm_vs_max_gap,0.002408563857898116,0.00240856378751929
