feature,importance,importance_share
humidity_3pm,0.20386354625225067,0.2038635221871534
location,0.15024350921157748,0.15024349147606403
moisture_stability_3pm,0.07735157757997513,0.07735156844899868
rain_today,0.04152734391391277,0.04152733901181238
dew_point_spread_3pm,0.03723489120602608,0.03723488681062879
seasonal_rainfall_zone,0.03561419667676091,0.035614192472678705
koppen_zone,0.024859734112396836,0.02485973117782648
land_strip,0.02479616948403418,0.024796166556967317
sunshine,0.02225002832710743,0.022250025700600112
wind_gust_speed,0.018953975290060043,0.01895397305263571
pressure_humidity_3pm_ratio,0.018841486424207687,0.018841484200062115
temperature_humidity_zone,0.01795619772747159,0.01795619560783003
rainfall_missing,0.016579294577240944,0.016579292620136087
rainfall,0.015580013394355774,0.015580011555211186
cloud_humidity_3pm_interaction,0.01451670378446579,0.014516702070839715
pressure_3pm,0.012096420861780643,0.012096419433857163
pressure_overnight_change,0.009709542617201805,0.009709541471037659
cloud_3pm,0.009496482089161873,0.009496480968148483
humidity_3pm_missing,0.009480876848101616,0.009480875728930348
wind_dir_3pm_x,0.007907412014901638,0.007907411081470219
humidity_temp_3pm_interaction,0.007354846224188805,0.007354845355985082
pressure_9am,0.006970848888158798,0.006970848065284088
lon,0.006781176198273897,0.006781175397789123
dewpoint_3pm,0.006311747245490551,0.006311746500419575
lat,0.0059691984206438065,0.005969197716009048
cloud_3pm_missing,0.005748517345637083,0.00574851666705265
pressure_day_diff,0.005615063011646271,0.00561506234881547
ncc_zone,0.005001603160053492,0.005001602569638634
humidity_9am_missing,0.004971020855009556,0.0049710202682047904
temp_range,0.0048677208833396435,0.004867720308728936
elevation,0.004734165966510773,0.004734165407665572
wind_gust_speed_missing,0.004482874646782875,0.004482874117601389
wind_dir_9am_x,0.004454278387129307,0.0044542778613234696
humidity_overnight_change,0.004435529001057148,0.004435528477464585
wind_dir_3pm_y,0.004214901477098465,0.0042149009795499045
sunshine_missing,0.004119610879570246,0.004119610393270275
max_temp,0.0041035800240933895,0.0041035795396857835
pressure_3pm_missing,0.003906677011400461,0.003906676550236295
day_of_year_cos,0.0038845387753099203,0.003884538316759065
cloud_day_diff,0.0036690696142613888,0.0036690691811456172
humidity_day_diff,0.0036597999278455973,0.0036597994958240667
temp_9am,0.003607267513871193,0.0036072670880508578
pressure_humidity_9am_ratio,0.0035857746843248606,0.003585774261041649
temp_3pm,0.003563805716112256,0.0035638052954223742
pressure_fall,0.003549249144271016,0.0035492487252994664
temp_3pm_roll7_mean,0.003515699878334999,0.0035156994633237766
humidity_3pm_roll7_mean,0.003473533084616065,0.003473532674582427
dewpoint_9am,0.003461511107161641,0.0034615106985471386
humidity_temp_9am_interaction,0.0034487105440348387,0.0034487101369313805
temp_day_diff,0.0034294589422643185,0.003429458537433418
days_since_rain_1mm,0.0034159868955612183,0.003415986492320627
wind_speed_3pm,0.0034116317983716726,0.0034116313956451794
humidity_3pm_roll3_mean,0.003409674856811762,0.003409674454316276
dew_point_spread_9am,0.0033888942562043667,0.0033888938561619296
day_of_year_sin,0.0033294414170086384,0.0033294410239843187
pressure_3pm_yesterday,0.0032747879158705473,0.003274787529297807
min_temp,0.003201704239472747,0.003201703861527178
warming_day,0.003161658765748143,0.0031616583925297473
pressure_9am_missing,0.0030881224665790796,0.003088122102041285
humidity_9am,0.0030822630506008863,0.0030822626867547673
rain_today_streak_7,0.0030678180046379566,0.003067817642497005
wind_gust_speed_roll7_mean,0.003036647802218795,0.0030366474437573334
wind_gust_speed_roll3_mean,0.003005185630172491,0.0030051852754249854
cloud_9am_missing,0.0030045167077332735,0.003004516353064731
wind_shift_score,0.00300231552682817,0.003002315172419466
temp_3pm_roll3_mean,0.0029835347086191177,0.002983534356427398
wind_dir_9am_y,0.0029254707042127848,0.0029254703588752376
rainfall_roll7_sum,0.0029036393389105797,0.0029036389961501186
evaporation_missing,0.0028229234740138054,0.0028229231407814583
rainfall_roll3_mean,0.0027937362901866436,0.0027937359603997015
pressure_3pm_roll7_mean,0.0027527662459760904,0.002752765921025462
temp_overnight_change,0.0027409475296735764,0.0027409472061180897
cloud_9am,0.002649460919201374,0.0026494606064454357
wind_speed_9am,0.002627197653055191,0.0026271973429273223
rainfall_roll7_max,0.0025885761715471745,0.0025885758659783833
rainfall_prev_1d,0.0025149595458060503,0.002514959248927343
evaporation,0.0024903437588363886,0.002490343464863455
pressure_3pm_roll3_mean,0.0024126169737428427,0.0024126166889451768
cloud_3pm_yesterday,0.002396032679826021,0.00239603239698605
wind_speed_day_diff,0.002393045462667942,0.0023930451801805973
rainfall_yesterday,0.0023742495104670525,0.0023742492301984785
temp_3pm_vs_max_gap,0.002285962225869298,0.0022859619560226074
rain_today_streak_3,0.001712824567221105,0.0017128243650305194
humidity_rising_fast,0.0,0.0
