feature,importance,importance_share
humidity_3pm,0.21413543820381165,0.21413542229310456
location,0.1629604344489053,0.1629604223406071
season_ncc_zone,0.0906543185992632,0.09065431186345935
moisture_stability_3pm,0.07336696237325668,0.07336695692193924
rain_today,0.028362475335597992,0.02836247322820726
sunshine,0.02174137718975544,0.02174137557432603
dew_point_spread_3pm,0.02133401483297348,0.02133401324781194
land_strip,0.01840821816585958,0.0184082167980908
wind_gust_speed,0.01780066080391407,0.01780065948128806
rainfall,0.01623488962650299,0.016234888420217027
pressure_humidity_3pm_ratio,0.01332289632409811,0.013322895334179286
pressure_3pm,0.012684539891779423,0.012684538949291805
season_label,0.012674581725150347,0.012674580783402643
cloud_humidity_3pm_interaction,0.012618477456271648,0.012618476518692608
pressure_overnight_change,0.008960303850471973,0.008960303184702817
cloud_3pm,0.008502955548465252,0.008502954916678023
humidity_temp_3pm_interaction,0.00834235642105341,0.008342355801199028
wind_dir_3pm_x,0.007756655104458332,0.007756654528122773
lat,0.006256828550249338,0.006256828085354002
lon,0.006154716946184635,0.006154716488876403
warming_day,0.0053283097222447395,0.005328309326340278
dewpoint_3pm,0.005245739594101906,0.005245739204332576
pressure_day_diff,0.005216662771999836,0.005216662384390974
humidity_rising_fast,0.005135581362992525,0.00513558098140818
temp_range,0.0050490316934883595,0.005049031318334835
humidity_overnight_change,0.0049847750924527645,0.004984774722073639
ncc_zone,0.004983189515769482,0.004983189145508167
wind_dir_3pm_y,0.004882476292550564,0.004882475929772451
sunshine_missing,0.0048708380199968815,0.004870837658083516
elevation,0.004657253157347441,0.004657252811303874
rain_days_last_14,0.004397259559482336,0.004397259232756833
pressure_9am,0.004356614779680967,0.004356614455975455
cloud_3pm_missing,0.004170177970081568,0.004170177660228697
evaporation_missing,0.004052248317748308,0.004052248016657855
rainfall_roll30_sum,0.00402673427015543,0.0040267339709607235
wind_dir_9am_x,0.003913863096386194,0.00391386280557805
max_temp,0.003716528182849288,0.003716527906703537
cloud_day_diff,0.0036899177357554436,0.003689917461586904
day_of_year_cos,0.0036703613586723804,0.0036703610859569204
wind_speed_3pm,0.003586586331948638,0.0035865860654578363
pressure_humidity_9am_ratio,0.0035366059746593237,0.003536605711882166
dewpoint_9am,0.003468420822173357,0.003468420564462498
pressure_3pm_yesterday,0.0034416778944432735,0.003441677638719469
temp_9am,0.0034210653975605965,0.0034210651433683433
humidity_day_diff,0.003347044112160802,0.003347043863468484
humidity_3pm_prev_2d_mean,0.0032604155130684376,0.003260415270812804
humidity_9am,0.0032431096769869328,0.0032431094360171587
humidity_temp_9am_interaction,0.003221987746655941,0.0032219875072555704
humidity_3pm_roll14_mean,0.003218636382371187,0.0032186361432198296
recent_wet_ratio_14,0.0031684753485023975,0.003168475113078109
temp_3pm,0.003104398725554347,0.0031043984948910842
min_temp,0.003102596616372466,0.003102596385843104
day_of_year_sin,0.0030989614315330982,0.0030989612012738378
dew_point_spread_9am,0.0030542665626853704,0.0030542663357470312
cloud_9am_missing,0.0030045935418456793,0.0030045933185981486
wind_gust_speed_roll7_mean,0.0029721511527895927,0.002972150931952599
humidity_3pm_roll7_mean,0.0029613301157951355,0.002961329895762167
temp_3pm_roll3_mean,0.0029417916666716337,0.002941791448090413
temp_day_diff,0.0029290399979799986,0.002929039780346253
rainfall_roll14_sum,0.002922797342762351,0.0029227971255924474
temp_3pm_roll7_mean,0.0029038838110864162,0.0029038835953218273
pressure_fall,0.0028928194660693407,0.002892819251126856
wind_gust_speed_roll3_mean,0.0028648674488067627,0.0028648672359411704
wind_dir_9am_y,0.002859336556866765,0.0028593363444121295
humidity_3pm_roll3_mean,0.002846712479367852,0.002846712267851212
wind_shift_score,0.0027888210024684668,0.0027888207952532834
cloud_9am,0.0027640885673463345,0.002764088361968822
rainfall_roll3_mean,0.0026703982148319483,0.0026703980164158236
pressure_3pm_roll14_mean,0.0026676906272768974,0.002667690429061952
pressure_3pm_prev_2d_change,0.0026558612007647753,0.002655861003428781
pressure_3pm_trend_3v7,0.002637745812535286,0.002637745616545302
rainfall_prev_1d,0.00257066055200994,0.0025706603610045303
temp_overnight_change,0.002541600028052926,0.002541599839206774
rainfall_roll14_max,0.0025175786577165127,0.002517578470655198
evaporation,0.0024672069121152163,0.0024672067287966268
pressure_3pm_roll7_mean,0.002454182831570506,0.0024541826492196325
wind_speed_9am,0.0024522976018488407,0.002452297419638044
pressure_3pm_roll3_mean,0.002439240226522088,0.0024392400452814813
days_since_rain_5mm,0.0024248799309134483,0.002424879750739841
dry_days_last_7,0.0024015416856855154,0.0024015415072459884
rainfall_roll7_max,0.0023830989375710487,0.002383098760501856
rainfall_roll7_sum,0.0023738364689052105,0.0023738362925242386
cloud_3pm_yesterday,0.0023703789338469505,0.0023703787577228803
rainfall_yesterday,0.0023565602023154497,0.0023565600272181402
rain_today_streak_7,0.0023416224867105484,0.002341622312723142
cloud_3pm_roll14_mean,0.0023393183946609497,0.002339318220844742
wind_speed_day_diff,0.0023228221107274294,0.0023228219381369298
days_since_rain_1mm,0.002314886776730418,0.0023148866047295303
rain_today_streak_3,0.002278440399095416,0.00227844022980257
rain_days_last_7,0.0021663173101842403,0.002166317149222372
cloud_3pm_prev_2d_mean,0.0021385429427027702,0.0021385427838045952
humidity_3pm_trend_3v7,0.00213280669413507,0.00213280653566311
cloud_3pm_roll7_mean,0.002018515020608902,0.00201851487062905
temp_3pm_vs_max_gap,0.0020148977637290955,0.0020148976140180134
