variable,location,support,missing_pct
cloud_3pm,Adelaide,3102,0.9961315280464217
cloud_3pm,Tuggeranong,3010,0.9960132890365448
cloud_3pm,GoldCoast,2992,0.9959893048128342
cloud_3pm,Penrith,2976,0.9959677419354839
cloud_3pm,SalmonGums,2967,0.9959555106167847
cloud_3pm,Witchcliffe,2964,0.9959514170040485
cloud_3pm,Dartmoor,2955,0.9959390862944163
cloud_3pm,NorahHead,2941,0.9959197551853112
cloud_3pm,BadgerysCreek,2940,0.9959183673469387
cloud_3pm,MountGinini,2919,0.9958890030832477
cloud_3pm,Walpole,2831,0.9957612151183327
cloud_3pm,Nhil,1581,0.9924098671726755
cloud_3pm,Richmond,2963,0.8002024974687817
cloud_3pm,Launceston,3040,0.7539473684210526
cloud_3pm,Uluru,1533,0.726027397260274
cloud_3pm,Wollongong,2995,0.5292153589315526
cloud_3pm,Albury,3023,0.5279523652001323
cloud_3pm,Katherine,1571,0.4519414385741566
cloud_3pm,PearceRAAF,2774,0.37022350396539294
cloud_3pm,Canberra,3430,0.36559766763848395
cloud_3pm,Hobart,3200,0.3646875
cloud_3pm,Ballarat,3040,0.3424342105263158
cloud_3pm,Newcastle,2967,0.2898550724637681
cloud_3pm,Nuriootpa,3014,0.2538155275381553
cloud_3pm,Bendigo,3046,0.25180564674983585
cloud_3pm,CoffsHarbour,2965,0.24654300168634063
cloud_3pm,Albany,3028,0.22952443857331573
cloud_3pm,Woomera,3002,0.2171885409726849
cloud_3pm,Williamtown,2565,0.19922027290448344
cloud_3pm,Melbourne,2447,0.19084593379648548
cloud_3pm,Portland,3008,0.17220744680851063
cloud_3pm,Sydney,3349,0.16751269035532995
cloud_3pm,Sale,3012,0.12848605577689243
cloud_3pm,Moree,2866,0.1270062805303559
cloud_3pm,AliceSprings,3043,0.11764705882352941
cloud_3pm,Cobar,3000,0.10033333333333333
cloud_3pm,Townsville,3045,0.08998357963875206
cloud_3pm,Cairns,3000,0.06866666666666667
cloud_3pm,WaggaWagga,2988,0.05287817938420348
cloud_3pm,Mildura,3019,0.049022855250082806
cloud_3pm,MountGambier,3042,0.03550295857988166
cloud_3pm,NorfolkIsland,2976,0.019489247311827957
cloud_3pm,PerthAirport,3021,0.0013240648791790798
cloud_3pm,Perth,3205,0.0012480499219968799
cloud_3pm,Darwin,3204,0.0009363295880149813
cloud_3pm,Brisbane,3173,0.0006303183107469272
cloud_3pm,Watsonia,3011,0.00033211557622052476
cloud_3pm,MelbourneAirport,3021,0.00033101621979476995
cloud_3pm,SydneyAirport,3017,0.0
cloud_9am,Adelaide,3102,0.9961315280464217
cloud_9am,Tuggeranong,3010,0.9960132890365448
cloud_9am,GoldCoast,2992,0.9959893048128342
cloud_9am,Penrith,2976,0.9959677419354839
cloud_9am,SalmonGums,2967,0.9959555106167847
cloud_9am,Witchcliffe,2964,0.9959514170040485
cloud_9am,Dartmoor,2955,0.9959390862944163
cloud_9am,NorahHead,2941,0.9959197551853112
cloud_9am,BadgerysCreek,2940,0.9959183673469387
cloud_9am,MountGinini,2919,0.9958890030832477
cloud_9am,Walpole,2831,0.9957612151183327
cloud_9am,Nhil,1581,0.9924098671726755
cloud_9am,Richmond,2963,0.7924400944988188
cloud_9am,Uluru,1533,0.771689497716895
cloud_9am,Launceston,3040,0.7592105263157894
cloud_9am,Albury,3023,0.5719483956334767
cloud_9am,Wollongong,2995,0.5545909849749583
cloud_9am,Hobart,3200,0.363125
cloud_9am,PearceRAAF,2774,0.3410237923576063
cloud_9am,Bendigo,3046,0.3164806303348654
cloud_9am,Canberra,3430,0.3107871720116618
cloud_9am,CoffsHarbour,2965,0.25834738617200675
cloud_9am,Ballarat,3040,0.17894736842105263
cloud_9am,Williamtown,2565,0.17855750487329436
cloud_9am,Sydney,3349,0.16900567333532399
cloud_9am,Moree,2866,0.16852756454989531
cloud_9am,Melbourne,2447,0.16591744993870045
cloud_9am,Portland,3008,0.13597074468085107
cloud_9am,Cobar,3000,0.123
cloud_9am,Woomera,3002,0.12091938707528314
cloud_9am,Sale,3012,0.11786188579017265
cloud_9am,AliceSprings,3043,0.10910285902070326
cloud_9am,WaggaWagga,2988,0.06927710843373494
cloud_9am,Cairns,3000,0.06166666666666667
cloud_9am,Newcastle,2967,0.06100438153016515
cloud_9am,Townsville,3045,0.05648604269293925
cloud_9am,Nuriootpa,3014,0.04213669542136696
cloud_9am,MountGambier,3042,0.034845496383957925
cloud_9am,Mildura,3019,0.02782378270950646
cloud_9am,Katherine,1571,0.023551877784850413
cloud_9am,NorfolkIsland,2976,0.02049731182795699
cloud_9am,Albany,3028,0.011558784676354029
cloud_9am,SydneyAirport,3017,0.001325820351342393
cloud_9am,PerthAirport,3021,0.0006620324395895399
cloud_9am,Perth,3205,0.0006240249609984399
cloud_9am,Brisbane,3173,0.0003151591553734636
cloud_9am,Darwin,3204,0.00031210986267166043
