location,support,actual_rainy,tp,fn,fn_rate_among_rainy,recall_among_rainy,mean_probability,variant
AliceSprings,579,55,27,28,0.509090909090909,0.4909090909090909,0.17520914674556037,current_hybrid_baseline
Tuggeranong,580,120,63,57,0.475,0.525,0.28012727615262234,current_hybrid_baseline
Uluru,577,61,33,28,0.45901639344262296,0.5409836065573771,0.14625357651620563,current_hybrid_baseline
Woomera,582,45,25,20,0.4444444444444444,0.5555555555555556,0.17422650233694967,current_hybrid_baseline
SalmonGums,584,102,58,44,0.43137254901960786,0.5686274509803921,0.24946788903401843,current_hybrid_baseline
Townsville,583,100,60,40,0.4,0.6,0.32829259452369625,current_hybrid_baseline
Canberra,590,116,73,43,0.3706896551724138,0.6293103448275862,0.29606817893808957,current_hybrid_baseline
Melbourne,432,118,75,43,0.3644067796610169,0.635593220338983,0.3880096520069297,current_hybrid_baseline
Cobar,574,86,55,31,0.36046511627906974,0.6395348837209303,0.21475514327432632,current_hybrid_baseline
BadgerysCreek,574,98,65,33,0.336734693877551,0.6632653061224489,0.35196972527046366,current_hybrid_baseline
Albury,585,117,79,38,0.3247863247863248,0.6752136752136753,0.28253286387697363,current_hybrid_baseline
MelbourneAirport,593,138,94,44,0.3188405797101449,0.6811594202898551,0.3505616278851101,current_hybrid_baseline
Hobart,594,144,99,45,0.3125,0.6875,0.39123830045685143,current_hybrid_baseline
Katherine,572,125,86,39,0.312,0.688,0.3052713775479005,current_hybrid_baseline
Newcastle,566,132,91,41,0.3106060606060606,0.6893939393939394,0.39268099298743825,current_hybrid_baseline
WaggaWagga,542,104,73,31,0.2980769230769231,0.7019230769230769,0.2587999983140607,current_hybrid_baseline
Bendigo,584,118,83,35,0.2966101694915254,0.7033898305084746,0.30748258031006437,current_hybrid_baseline
Penrith,569,96,68,28,0.2916666666666667,0.7083333333333334,0.3428985132283467,current_hybrid_baseline
Watsonia,579,135,96,39,0.28888888888888886,0.7111111111111111,0.37528229635406685,current_hybrid_baseline
PerthAirport,594,108,77,31,0.28703703703703703,0.7129629629629629,0.26462162213428386,current_hybrid_baseline
Mildura,593,60,43,17,0.2833333333333333,0.7166666666666667,0.2059171425421487,current_hybrid_baseline
Brisbane,580,117,84,33,0.28205128205128205,0.717948717948718,0.3638786399808031,current_hybrid_baseline
Moree,564,75,54,21,0.28,0.72,0.25531961865016906,current_hybrid_baseline
Richmond,588,109,79,30,0.27522935779816515,0.7247706422018348,0.35145820150219254,current_hybrid_baseline
Sydney,594,153,112,41,0.2679738562091503,0.7320261437908496,0.39970008194771617,current_hybrid_baseline
NorfolkIsland,531,183,134,49,0.2677595628415301,0.73224043715847,0.537592386583315,current_hybrid_baseline
Williamtown,557,142,104,38,0.2676056338028169,0.7323943661971831,0.4065364220650144,current_hybrid_baseline
Perth,594,121,89,32,0.2644628099173554,0.7355371900826446,0.2681526217975272,current_hybrid_baseline
MountGinini,592,167,123,44,0.2634730538922156,0.7365269461077845,0.39342129831686223,current_hybrid_baseline
Sale,582,116,86,30,0.25862068965517243,0.7413793103448276,0.37359572444792666,current_hybrid_baseline
Wollongong,582,127,95,32,0.25196850393700787,0.7480314960629921,0.4321559991820446,current_hybrid_baseline
Cairns,526,180,135,45,0.25,0.75,0.5312320148228766,current_hybrid_baseline
CoffsHarbour,592,163,124,39,0.2392638036809816,0.7607361963190185,0.45834425995616423,current_hybrid_baseline
Nuriootpa,589,130,99,31,0.23846153846153847,0.7615384615384615,0.30302778839369143,current_hybrid_baseline
Albany,566,168,128,40,0.23809523809523808,0.7619047619047619,0.41066720727044903,current_hybrid_baseline
Nhil,592,102,78,24,0.23529411764705882,0.7647058823529411,0.27905089616240664,current_hybrid_baseline
Adelaide,586,128,98,30,0.234375,0.765625,0.30389814074632765,current_hybrid_baseline
PearceRAAF,577,107,82,25,0.2336448598130841,0.7663551401869159,0.2749069135838478,current_hybrid_baseline
GoldCoast,532,129,101,28,0.21705426356589147,0.7829457364341085,0.4786035931603385,current_hybrid_baseline
Launceston,589,136,107,29,0.21323529411764705,0.7867647058823529,0.38225252608290755,current_hybrid_baseline
Ballarat,590,154,122,32,0.2077922077922078,0.7922077922077922,0.3924833832355316,current_hybrid_baseline
Portland,588,215,173,42,0.19534883720930232,0.8046511627906977,0.4930816574137957,current_hybrid_baseline
Walpole,555,200,161,39,0.195,0.805,0.4710032260773885,current_hybrid_baseline
Dartmoor,590,175,141,34,0.19428571428571428,0.8057142857142857,0.4182825457256243,current_hybrid_baseline
SydneyAirport,587,139,113,26,0.18705035971223022,0.8129496402877698,0.4349861902940449,current_hybrid_baseline
NorahHead,592,159,131,28,0.1761006289308176,0.8238993710691824,0.48862511685110493,current_hybrid_baseline
Witchcliffe,577,167,139,28,0.16766467065868262,0.8323353293413174,0.39725479069580777,current_hybrid_baseline
Darwin,593,188,157,31,0.16489361702127658,0.8351063829787234,0.4481884360717515,current_hybrid_baseline
MountGambier,576,177,148,29,0.1638418079096045,0.8361581920903954,0.45125641054641796,current_hybrid_baseline
AliceSprings,579,55,30,25,0.45454545454545453,0.5454545454545454,0.17791063230238435,hybrid_plus_expanded_missingness
Woomera,582,45,26,19,0.4222222222222222,0.5777777777777777,0.17695770881910586,hybrid_plus_expanded_missingness
Uluru,577,61,36,25,0.4098360655737705,0.5901639344262295,0.1476254754424151,hybrid_plus_expanded_missingness
Tuggeranong,580,120,71,49,0.4083333333333333,0.5916666666666667,0.28372085660954277,hybrid_plus_expanded_missingness
SalmonGums,584,102,62,40,0.39215686274509803,0.6078431372549019,0.24991747168499573,hybrid_plus_expanded_missingness
Townsville,583,100,61,39,0.39,0.61,0.33372870879960453,hybrid_plus_expanded_missingness
Canberra,590,116,78,38,0.3275862068965517,0.6724137931034483,0.3010205870420647,hybrid_plus_expanded_missingness
Cobar,574,86,58,28,0.32558139534883723,0.6744186046511628,0.2116835229405402,hybrid_plus_expanded_missingness
Albury,585,117,83,34,0.2905982905982906,0.7094017094017094,0.2793283553635764,hybrid_plus_expanded_missingness
MelbourneAirport,593,138,98,40,0.2898550724637681,0.7101449275362319,0.353216511541475,hybrid_plus_expanded_missingness
Bendigo,584,118,84,34,0.288135593220339,0.711864406779661,0.3051898255414702,hybrid_plus_expanded_missingness
Brisbane,580,117,84,33,0.28205128205128205,0.717948717948718,0.36200147209544775,hybrid_plus_expanded_missingness
BadgerysCreek,574,98,71,27,0.2755102040816326,0.7244897959183674,0.36159384577524506,hybrid_plus_expanded_missingness
WaggaWagga,542,104,76,28,0.2692307692307692,0.7307692307692307,0.2601922112671439,hybrid_plus_expanded_missingness
Moree,564,75,55,20,0.26666666666666666,0.7333333333333333,0.2538573699009666,hybrid_plus_expanded_missingness
Hobart,594,144,106,38,0.2638888888888889,0.7361111111111112,0.3947836414712962,hybrid_plus_expanded_missingness
Melbourne,432,118,87,31,0.2627118644067797,0.7372881355932204,0.38651425616907376,hybrid_plus_expanded_missingness
