missingness_burden_bucket,support,actual_rainy,tp,fn,fn_rate_among_rainy,recall_among_rainy,mean_probability,variant
5+,2447,499,344,155,0.3106212424849699,0.6893787575150301,0.3322924508941166,current_hybrid_baseline
3-4,11624,2104,1472,632,0.30038022813688214,0.6996197718631179,0.3033287666040957,current_hybrid_baseline
0,7758,1790,1269,521,0.2910614525139665,0.7089385474860335,0.3560821862129577,current_hybrid_baseline
1-2,6358,1912,1535,377,0.19717573221757323,0.8028242677824268,0.44221301927652507,current_hybrid_baseline
3-4,10353,1859,1366,493,0.26519634211941906,0.734803657880581,0.30533962083555205,hybrid_plus_expanded_missingness
5+,4136,848,630,218,0.25707547169811323,0.7429245283018868,0.328920270679915,hybrid_plus_expanded_missingness
0,7529,1744,1305,439,0.25172018348623854,0.7482798165137615,0.3569351323515349,hybrid_plus_expanded_missingness
1-2,6169,1854,1534,320,0.1725997842502697,0.8274002157497303,0.4446279376690274,hybrid_plus_expanded_missingness
3-4,10252,1844,1408,436,0.23644251626898047,0.7635574837310195,0.31396778531317826,variable_specific_missing_design
5+,4525,927,718,209,0.22545846817691478,0.7745415318230853,0.3512370466164412,variable_specific_missing_design
0,7529,1744,1359,385,0.22075688073394495,0.779243119266055,0.3568576130116689,variable_specific_missing_design
1-2,5881,1790,1517,273,0.15251396648044693,0.8474860335195531,0.442504755098937,variable_specific_missing_design
