season_label,support,actual_rainy,tp,fn,fn_rate_among_rainy,recall_among_rainy,mean_probability,variant
Summer,8430,1630,1116,514,0.31533742331288345,0.6846625766871166,0.3107413762341917,current_hybrid_baseline
Spring,4795,1080,786,294,0.2722222222222222,0.7277777777777777,0.36823941681989997,current_hybrid_baseline
Autumn,8766,1864,1376,488,0.26180257510729615,0.7381974248927039,0.345176379556741,current_hybrid_baseline
Winter,6196,1731,1342,389,0.2247255921432698,0.7752744078567302,0.4038113684706481,current_hybrid_baseline
Summer,8430,1630,1170,460,0.2822085889570552,0.7177914110429447,0.31070539676866044,hybrid_plus_expanded_missingness
Spring,4795,1080,828,252,0.23333333333333334,0.7666666666666667,0.36954100216179736,hybrid_plus_expanded_missingness
Autumn,8766,1864,1442,422,0.22639484978540772,0.7736051502145923,0.3478738067807565,hybrid_plus_expanded_missingness
Winter,6196,1731,1395,336,0.19410745233968804,0.8058925476603119,0.4052957234718846,hybrid_plus_expanded_missingness
Summer,8430,1630,1237,393,0.2411042944785276,0.7588957055214723,0.3237065685014141,variable_specific_missing_design
Spring,4795,1080,848,232,0.21481481481481482,0.7851851851851852,0.3745687731805103,variable_specific_missing_design
Autumn,8766,1864,1488,376,0.2017167381974249,0.7982832618025751,0.35045397713399135,variable_specific_missing_design
Winter,6196,1731,1429,302,0.17446562680531486,0.8255343731946851,0.4035367334809178,variable_specific_missing_design
