method_key,method_label,training_scheme,calibration_family,segment_strategy,threshold_selection_support,selection_event_rate,selection_brier,selection_log_loss,selection_reliability_mae,selection_reliability_max_gap,validation_threshold,test_support,test_event_rate,test_roc_auc,test_f1,test_precision,test_recall,test_brier,test_log_loss,test_reliability_mae,test_reliability_max_gap,curve_path,threshold_path,segment_value_count,segment_calibrator_count,segment_fallback_count,segment_min_support,segment_min_class_support,primary_segment_role,secondary_segment_role,primary_segment_value_count,primary_segment_calibrator_count,secondary_segment_value_count,secondary_segment_calibrator_count
validation_block_climate_regime_season_isotonic,Validation-block isotonic by climate regime and season,validation_block,isotonic,climate_regime_season_hierarchical,22572,0.20498848130427078,0.08769918608055356,0.2793733465640559,0.0017766552028216371,0.0060312949201544175,0.34,28187,0.22368467733352254,0.8918245117040059,0.6725346859615098,0.6348401633572737,0.7149881046788263,0.10082713466764162,0.3497474292560779,0.016594381560030107,0.03970830560911642,/home/ubuntu/rainfall/rain_prediction_MLops/models/winner_model_calibration/winner_validation_climate_regime_season_isotonic_curve.csv,/home/ubuntu/rainfall/rain_prediction_MLops/models/winner_model_calibration/winner_validation_climate_regime_season_isotonic_threshold_curve.csv,,,,500.0,25.0,climate_regime_season,climate_regime,24.0,17.0,6.0,6.0
validation_block_climate_regime_isotonic,Validation-block isotonic by climate regime,validation_block,isotonic,climate_regime,22572,0.20498848130427078,0.08969597037183553,0.2867688019641637,1.1465532518235361e-07,6.934351145037416e-07,0.34,28187,0.22368467733352254,0.8931235454297765,0.6787237171004264,0.6325887350966151,0.7321173671689135,0.10029398004945064,0.3350877910588494,0.01559826046018364,0.04947211280222816,/home/ubuntu/rainfall/rain_prediction_MLops/models/winner_model_calibration/winner_validation_climate_regime_isotonic_curve.csv,/home/ubuntu/rainfall/rain_prediction_MLops/models/winner_model_calibration/winner_validation_climate_regime_isotonic_threshold_curve.csv,6.0,6.0,0.0,500.0,25.0,,,,,,
validation_block_season_isotonic,Validation-block isotonic by season,validation_block,isotonic,season,22572,0.20498848130427078,0.0901881259824758,0.2883708295580429,1.1571858939864752e-07,7.291602107219533e-07,0.34,28187,0.22368467733352254,0.8941693175007381,0.6719552029864676,0.6592400427285213,0.6851704996034893,0.09961312050290046,0.3283056684459883,0.01522764133390482,0.031459286614805654,/home/ubuntu/rainfall/rain_prediction_MLops/models/winner_model_calibration/winner_validation_season_isotonic_curve.csv,/home/ubuntu/rainfall/rain_prediction_MLops/models/winner_model_calibration/winner_validation_season_isotonic_threshold_curve.csv,4.0,4.0,0.0,500.0,25.0,,,,,,
validation_block_isotonic,Validation-block isotonic,validation_block,isotonic,global,22572,0.20498848130427078,0.09108478733984525,0.291887969954624,7.646641856152301e-08,4.4395116537187043e-07,0.34,28187,0.22368467733352254,0.8948736214086356,0.677790903721205,0.6340654786572731,0.7279936558287073,0.09937834488642285,0.3242101881934939,0.014025696397249918,0.04268865153463458,/home/ubuntu/rainfall/rain_prediction_MLops/models/winner_model_calibration/winner_validation_isotonic_curve.csv,/home/ubuntu/rainfall/rain_prediction_MLops/models/winner_model_calibration/winner_validation_isotonic_threshold_curve.csv,,,,,,,,,,,
validation_block_climate_regime_season_sigmoid,Validation-block sigmoid by climate regime and season,validation_block,sigmoid,climate_regime_season_hierarchical,22572,0.20498848130427078,0.09259519582443307,0.30298758658015784,0.02668465383324798,0.07870973585503638,0.34,28187,0.22368467733352254,0.8915836081655184,0.6765424783349382,0.6346581434130072,0.724345757335448,0.10140947370993215,0.3303510669349564,0.020371640919723193,0.06635578226860417,/home/ubuntu/rainfall/rain_prediction_MLops/models/winner_model_calibration/winner_validation_climate_regime_season_sigmoid_curve.csv,/home/ubuntu/rainfall/rain_prediction_MLops/models/winner_model_calibration/winner_validation_climate_regime_season_sigmoid_threshold_curve.csv,,,,500.0,25.0,climate_regime_season,climate_regime,24.0,17.0,6.0,6.0
validation_block_climate_regime_sigmoid,Validation-block sigmoid by climate regime,validation_block,sigmoid,climate_regime,22572,0.20498848130427078,0.09276556544307953,0.3023821801544352,0.02826443441121226,0.0721427652534763,0.34,28187,0.22368467733352254,0.8930733084185011,0.6758803205175329,0.6298986023568101,0.7291038858049167,0.10086033006709579,0.32839870949838607,0.025289631333546506,0.08903894573333015,/home/ubuntu/rainfall/rain_prediction_MLops/models/winner_model_calibration/winner_validation_climate_regime_sigmoid_curve.csv,/home/ubuntu/rainfall/rain_prediction_MLops/models/winner_model_calibration/winner_validation_climate_regime_sigmoid_threshold_curve.csv,6.0,6.0,0.0,500.0,25.0,,,,,,
validation_block_season_sigmoid,Validation-block sigmoid by season,validation_block,sigmoid,season,22572,0.20498848130427078,0.09302134675700151,0.30330327872404445,0.029565977667015863,0.07000708051190434,0.36000000000000004,28187,0.22368467733352254,0.8952765394896903,0.6768237766436506,0.6423992021655507,0.715146708961142,0.10057354390681152,0.32748932513267376,0.02968387959817879,0.08889933913973491,/home/ubuntu/rainfall/rain_prediction_MLops/models/winner_model_calibration/winner_validation_season_sigmoid_curve.csv,/home/ubuntu/rainfall/rain_prediction_MLops/models/winner_model_calibration/winner_validation_season_sigmoid_threshold_curve.csv,4.0,4.0,0.0,500.0,25.0,,,,,,
validation_block_sigmoid,Validation-block sigmoid,validation_block,sigmoid,global,22572,0.20498848130427078,0.09313057145431008,0.303419092644042,0.029683386341064447,0.0728453692133886,0.36000000000000004,28187,0.22368467733352254,0.8950963646770679,0.6779205258440394,0.6406889735987575,0.719746233148295,0.10071363990437171,0.32780544301764747,0.03039692398037308,0.10055993509080186,/home/ubuntu/rainfall/rain_prediction_MLops/models/winner_model_calibration/winner_validation_sigmoid_curve.csv,/home/ubuntu/rainfall/rain_prediction_MLops/models/winner_model_calibration/winner_validation_sigmoid_threshold_curve.csv,,,,,,,,,,,
time_series_climate_regime_season_isotonic,Time-aware isotonic by climate regime and season,time_series_oof,isotonic,climate_regime_season_hierarchical,108246,0.22291816787687305,0.0969141302275345,0.30993394398778185,7.56887090575685e-08,9.14088468422392e-07,0.34,28187,0.22368467733352254,0.8957419874648835,0.6747711870327674,0.603021978021978,0.7659000793021412,0.10053657352835052,0.32778878351853613,0.030653820477409686,0.06789194555805059,/home/ubuntu/rainfall/rain_prediction_MLops/models/winner_model_calibration/winner_climate_regime_season_isotonic_curve.csv,/home/ubuntu/rainfall/rain_prediction_MLops/models/winner_model_calibration/winner_climate_regime_season_isotonic_threshold_curve.csv,,,,500.0,25.0,climate_regime_season,climate_regime,24.0,24.0,6.0,6.0
time_series_climate_regime_isotonic,Time-aware isotonic by climate regime,time_series_oof,isotonic,climate_regime,108246,0.22291816787687305,0.09796539156050837,0.31407017440830953,2.3732978588961693e-08,2.98335299515071e-07,0.34,28187,0.22368467733352254,0.8966434812458519,0.6781730162071143,0.6080775037745345,0.7665344964314037,0.09997805687084753,0.32351756040034174,0.02994497385245251,0.07572606491729411,/home/ubuntu/rainfall/rain_prediction_MLops/models/winner_model_calibration/winner_climate_regime_isotonic_curve.csv,/home/ubuntu/rainfall/rain_prediction_MLops/models/winner_model_calibration/winner_climate_regime_isotonic_threshold_curve.csv,6.0,6.0,0.0,500.0,25.0,,,,,,
time_series_season_isotonic,Time-aware isotonic by season,time_series_oof,isotonic,season,108246,0.22291816787687305,0.09817437724388545,0.3147411982178574,2.0924560715515997e-08,2.084966627818874e-07,0.34,28187,0.22368467733352254,0.8968296394162592,0.6780329716781739,0.6099632399543669,0.7632038065027755,0.09997448577854717,0.3233035448158854,0.030978773020283585,0.0751537814733925,/home/ubuntu/rainfall/rain_prediction_MLops/models/winner_model_calibration/winner_season_isotonic_curve.csv,/home/ubuntu/rainfall/rain_prediction_MLops/models/winner_model_calibration/winner_season_isotonic_threshold_curve.csv,4.0,4.0,0.0,500.0,25.0,,,,,,
time_series_isotonic,Time-aware isotonic,time_series_oof,isotonic,global,108246,0.22291816787687305,0.09851246604227251,0.3161415101514625,7.362858681346926e-09,7.605911330052159e-08,0.34,28187,0.22368467733352254,0.8972052355504083,0.6784496555563287,0.6043887924621869,0.7731958762886598,0.09987361058696909,0.32303749323384545,0.030777615567837213,0.07555074582509441,/home/ubuntu/rainfall/rain_prediction_MLops/models/winner_model_calibration/winner_isotonic_curve.csv,/home/ubuntu/rainfall/rain_prediction_MLops/models/winner_model_calibration/winner_isotonic_threshold_curve.csv,,,,,,,,,,,
time_series_climate_regime_season_sigmoid,Time-aware sigmoid by climate regime and season,time_series_oof,sigmoid,climate_regime_season_hierarchical,108246,0.22291816787687305,0.10007077652427525,0.3249909584653544,0.029068165501835094,0.07790824298558852,0.34,28187,0.22368467733352254,0.8954819234099761,0.6770250673296043,0.599559686888454,0.7774781919111816,0.10161720399349586,0.32955010235742915,0.03588557170204226,0.10832410060242237,/home/ubuntu/rainfall/rain_prediction_MLops/models/winner_model_calibration/winner_climate_regime_season_sigmoid_curve.csv,/home/ubuntu/rainfall/rain_prediction_MLops/models/winner_model_calibration/winner_climate_regime_season_sigmoid_threshold_curve.csv,,,,500.0,25.0,climate_regime_season,climate_regime,24.0,24.0,6.0,6.0
time_series_climate_regime_sigmoid,Time-aware sigmoid by climate regime,time_series_oof,sigmoid,climate_regime,108246,0.22291816787687305,0.1002725800543178,0.32553122905714954,0.03043273774470544,0.07575640015126528,0.36000000000000004,28187,0.22368467733352254,0.8960651757632188,0.6793035664139286,0.6093966494520721,0.7673275178429818,0.10147410772703723,0.3288731452024219,0.03829328134187246,0.11915377774193947,/home/ubuntu/rainfall/rain_prediction_MLops/models/winner_model_calibration/winner_climate_regime_sigmoid_curve.csv,/home/ubuntu/rainfall/rain_prediction_MLops/models/winner_model_calibration/winner_climate_regime_sigmoid_threshold_curve.csv,6.0,6.0,0.0,500.0,25.0,,,,,,
time_series_season_sigmoid,Time-aware sigmoid by season,time_series_oof,sigmoid,season,108246,0.22291816787687305,0.10044916546500435,0.32629693164476153,0.03252284980415478,0.07700807432993984,0.36000000000000004,28187,0.22368467733352254,0.8973102577946553,0.6793166223218037,0.6081233546446032,0.7693893735130849,0.10151268028858022,0.32902245319881557,0.03985920266387907,0.12183003127694847,/home/ubuntu/rainfall/rain_prediction_MLops/models/winner_model_calibration/winner_season_sigmoid_curve.csv,/home/ubuntu/rainfall/rain_prediction_MLops/models/winner_model_calibration/winner_season_sigmoid_threshold_curve.csv,4.0,4.0,0.0,500.0,25.0,,,,,,
time_series_sigmoid,Time-aware sigmoid,time_series_oof,sigmoid,global,108246,0.22291816787687305,0.1004720605531459,0.3263244974769728,0.03285567428874699,0.07632704968021531,0.34,28187,0.22368467733352254,0.8973465710866031,0.6760291890403415,0.5972509427076997,0.7787470261697066,0.10157174671316345,0.32911410192560286,0.04038955648699874,0.12637900664854818,/home/ubuntu/rainfall/rain_prediction_MLops/models/winner_model_calibration/winner_sigmoid_curve.csv,/home/ubuntu/rainfall/rain_prediction_MLops/models/winner_model_calibration/winner_sigmoid_threshold_curve.csv,,,,,,,,,,,
validation_block_raw,Validation-block raw,validation_block,raw,global,22572,0.20498848130427078,0.10518827182513223,0.3334416613203972,0.09111475200551122,0.22185793693418404,0.5600000000000003,28187,0.22368467733352254,0.8950963646770679,0.6781660692951016,0.6407506702412868,0.7202220459952419,0.11654561996906503,0.36827765735158535,0.10430386032637709,0.2328277943905082,/home/ubuntu/rainfall/rain_prediction_MLops/models/winner_model_calibration/winner_validation_raw_curve.csv,/home/ubuntu/rainfall/rain_prediction_MLops/models/winner_model_calibration/winner_validation_raw_threshold_curve.csv,,,,,,,,,,,
time_series_raw,Time-aware raw refit,time_series_oof,raw,global,108246,0.22291816787687305,0.11221705806113222,0.3536149116089599,0.08688831266914014,0.21901811396223603,0.5400000000000003,28187,0.22368467733352254,0.8973465710866031,0.6759437861669881,0.5974911703811959,0.7781126090404441,0.12450996176378155,0.38957475797741603,0.12938126416424361,0.2736429980318882,/home/ubuntu/rainfall/rain_prediction_MLops/models/winner_model_calibration/winner_uncalibrated_curve.csv,/home/ubuntu/rainfall/rain_prediction_MLops/models/winner_model_calibration/winner_uncalibrated_threshold_curve.csv,,,,,,,,,,,
