bin,mean_predicted_probability,observed_frequency,support
"(-0.000999, 0.00743]",0.003255860753858309,0.0029940119760479044,2004
"(0.00743, 0.0142]",0.012465094198421168,0.009039010466222646,2102
"(0.0142, 0.0251]",0.020327298778017155,0.016422287390029325,1705
"(0.0251, 0.0384]",0.033880474150678255,0.022779043280182234,1756
"(0.0384, 0.0586]",0.05233696323827777,0.024495677233429394,2082
"(0.0586, 0.0889]",0.07790253777575612,0.057328285559762035,1849
"(0.0889, 0.123]",0.10353756215369453,0.07583774250440917,1701
"(0.123, 0.157]",0.13577018994929121,0.09930220075147611,1863
"(0.157, 0.219]",0.18839121924294178,0.13359528487229863,2036
"(0.219, 0.265]",0.24251394386419933,0.17565217391304347,1725
"(0.265, 0.362]",0.31035745064408826,0.2619047619047619,1890
"(0.362, 0.483]",0.4174028628391901,0.3637327677624602,1886
"(0.483, 0.643]",0.5651105101269712,0.5126646403242148,1974
"(0.643, 0.838]",0.7477773228349025,0.7209960384833051,1767
"(0.838, 1.0]",0.9314849261894856,0.9154094827586207,1856
