bin,mean_predicted_probability,observed_frequency,support
"(-0.000999, 0.0048]",0.001248944719251902,0.005230125523012552,1912
"(0.0048, 0.0115]",0.007941721552538842,0.0074866310160427805,1870
"(0.0115, 0.0242]",0.01834377161210534,0.01580020387359837,1962
"(0.0242, 0.0397]",0.0318629961427005,0.02333152468800868,1843
"(0.0397, 0.0594]",0.04653270065775152,0.02857142857142857,1855
"(0.0594, 0.0833]",0.07258580843505114,0.05036726128016789,1906
"(0.0833, 0.122]",0.10598132523363749,0.07917109458023379,1882
"(0.122, 0.163]",0.13911241810529307,0.09586170770036669,1909
"(0.163, 0.203]",0.17862989303901133,0.11715246636771301,1784
"(0.203, 0.263]",0.24484667806833865,0.17695473251028807,1944
"(0.263, 0.372]",0.31491431603876163,0.26695604991861094,1843
"(0.372, 0.492]",0.42520878939788587,0.37139749864056554,1839
"(0.492, 0.648]",0.55995496220813,0.5232974910394266,1953
"(0.648, 0.839]",0.7430969627013024,0.6946438431805633,1811
"(0.839, 1.0]",0.9369416691566603,0.9167556029882604,1874
