bin,mean_predicted_probability,observed_frequency,support
"(0.0125, 0.0252]",0.021193114932577525,0.005851063829787234,1880
"(0.0252, 0.0327]",0.029258456326305776,0.013297872340425532,1880
"(0.0327, 0.0372]",0.03499540184214241,0.014893617021276596,1880
"(0.0372, 0.0424]",0.039605573806600444,0.019691325172964343,1879
"(0.0424, 0.0507]",0.04632564672078478,0.03138297872340425,1880
"(0.0507, 0.0635]",0.056593940187998217,0.04627659574468085,1880
"(0.0635, 0.0836]",0.07275301143850625,0.07291112293773283,1879
"(0.0836, 0.116]",0.0985751535258942,0.09574468085106383,1880
"(0.116, 0.168]",0.13993008161427975,0.11861702127659575,1880
"(0.168, 0.252]",0.20677618821110103,0.18201170835550826,1879
"(0.252, 0.393]",0.31851491684460553,0.25638297872340426,1880
"(0.393, 0.553]",0.47191204666078135,0.36648936170212765,1880
"(0.553, 0.705]",0.6306895977168052,0.5162320383182544,1879
"(0.705, 0.804]",0.7589352087072034,0.7111702127659575,1880
"(0.804, 0.9]",0.8406689380666437,0.9031914893617021,1880
