bin,mean_predicted_probability,observed_frequency,support
"(0.0162, 0.0265]",0.02053580379488765,0.005319148936170213,1880
"(0.0265, 0.0328]",0.030375019634392663,0.01648936170212766,1880
"(0.0328, 0.0363]",0.034479324382565804,0.015425531914893617,1880
"(0.0363, 0.0412]",0.03858351443299336,0.015965939329430547,1879
"(0.0412, 0.049]",0.04482180851367809,0.02872340425531915,1880
"(0.049, 0.0611]",0.05466458719910926,0.04680851063829787,1880
"(0.0611, 0.0816]",0.07031857189388328,0.07503991484832358,1879
"(0.0816, 0.114]",0.0965325414850879,0.09787234042553192,1880
"(0.114, 0.165]",0.13715709896888098,0.11648936170212766,1880
"(0.165, 0.251]",0.20443020716330074,0.18201170835550826,1879
"(0.251, 0.394]",0.31824934700454954,0.2542553191489362,1880
"(0.394, 0.557]",0.4748342355709117,0.36223404255319147,1880
"(0.557, 0.711]",0.635863278131986,0.5178286322511975,1879
"(0.711, 0.812]",0.7667689373858853,0.7101063829787234,1880
"(0.812, 0.903]",0.8452289919001895,0.9095744680851063,1880
