bin,mean_predicted_probability,observed_frequency,support
"(-0.000999, 0.00715]",0.005269175941177507,0.0049770290964777945,2612
"(0.00715, 0.0145]",0.012410082455211795,0.008678237650200267,1498
"(0.0145, 0.0257]",0.022580909120780736,0.016042780748663103,2244
"(0.0257, 0.0423]",0.03828240389775879,0.025116279069767444,2150
"(0.0423, 0.0667]",0.059992835786252974,0.03637833468067906,1237
"(0.0667, 0.0784]",0.07291838962944579,0.04994259471871412,1742
"(0.0784, 0.121]",0.11223660659881857,0.08606731998295697,2347
"(0.121, 0.155]",0.14709233915888906,0.09842845326716294,1209
"(0.155, 0.232]",0.1992819100797117,0.13046448087431695,2928
"(0.232, 0.274]",0.2614751155729936,0.18592436974789917,952
"(0.274, 0.372]",0.3284981548032779,0.27548483341621083,2011
"(0.372, 0.476]",0.4299935040082127,0.3805104408352668,1724
"(0.476, 0.625]",0.5656325928557786,0.5267807840971839,1811
"(0.625, 0.83]",0.7405715535585726,0.7028479312197743,1861
"(0.83, 1.0]",0.9284271812798404,0.9161740999462654,1861
