bin,mean_predicted_probability,observed_frequency,support
"(-0.000999, 0.00917]",0.004540079384245339,0.003494757863205192,2003
"(0.00917, 0.0135]",0.01117152500788679,0.00847457627118644,1888
"(0.0135, 0.0222]",0.019206272381865692,0.014372581536760642,1809
"(0.0222, 0.0393]",0.033833284154076715,0.018072289156626505,1826
"(0.0393, 0.0575]",0.04867498991801522,0.030792529025744572,1981
"(0.0575, 0.0915]",0.08028366192344064,0.05315068493150685,1825
"(0.0915, 0.123]",0.10637669732765351,0.07511737089201878,2130
"(0.123, 0.163]",0.14251729217269907,0.10778443113772455,1670
"(0.163, 0.209]",0.18717612552254825,0.1278814489571899,1822
"(0.209, 0.262]",0.24037257454355074,0.16666666666666666,1878
"(0.262, 0.361]",0.3197907204044406,0.2720624085811799,2051
"(0.361, 0.5]",0.4222211961089214,0.3635300993571011,1711
"(0.5, 0.632]",0.5676987730291418,0.5177718832891247,1885
"(0.632, 0.831]",0.7429262200505157,0.7108108108108108,1850
"(0.831, 1.0]",0.927312986370524,0.9148366363149437,1867
