bin,mean_predicted_probability,observed_frequency,support
"(0.0252, 0.0293]",0.02823820365777228,0.0026595744680851063,1880
"(0.0293, 0.0316]",0.030380552008491088,0.009047365620010643,1879
"(0.0316, 0.0349]",0.033108403374332455,0.011176157530601383,1879
"(0.0349, 0.0399]",0.03720201209425894,0.023416711016498136,1879
"(0.0399, 0.0474]",0.043347932425066744,0.03299627461415647,1879
"(0.0474, 0.0595]",0.05291168229215295,0.04736562001064396,1879
"(0.0595, 0.0798]",0.06886303382956983,0.0745077168706759,1879
"(0.0798, 0.112]",0.09473653024716215,0.10058541777541245,1879
"(0.112, 0.164]",0.13588792839137487,0.11601915912719532,1879
"(0.164, 0.255]",0.2054129084310552,0.17030335284725917,1879
"(0.255, 0.393]",0.3217188953749382,0.2602448110697179,1879
"(0.393, 0.56]",0.4763521147800251,0.37200638637573175,1879
"(0.56, 0.715]",0.6407230594834413,0.5188930282064929,1879
"(0.715, 0.815]",0.7700531836031048,0.699308142629058,1879
"(0.815, 0.867]",0.842006011522824,0.9164893617021277,1880
