method_key,method_label,training_scheme,calibration_family,segment_strategy,segment_value,support,positive_support,negative_support,event_rate,min_support_required,min_class_support_required,use_segment_calibrator,segment_role
validation_block_season_sigmoid,Validation-block sigmoid by season,validation_block,sigmoid,season,Winter,6054,1383,4671,0.2284440039643211,500,25,True,
validation_block_season_sigmoid,Validation-block sigmoid by season,validation_block,sigmoid,season,Spring,8042,1361,6681,0.1692365083312609,500,25,True,
validation_block_season_sigmoid,Validation-block sigmoid by season,validation_block,sigmoid,season,Summer,4191,936,3255,0.22333571939871152,500,25,True,
validation_block_season_sigmoid,Validation-block sigmoid by season,validation_block,sigmoid,season,Autumn,4285,947,3338,0.22100350058343057,500,25,True,
validation_block_season_isotonic,Validation-block isotonic by season,validation_block,isotonic,season,Winter,6054,1383,4671,0.2284440039643211,500,25,True,
validation_block_season_isotonic,Validation-block isotonic by season,validation_block,isotonic,season,Spring,8042,1361,6681,0.1692365083312609,500,25,True,
validation_block_season_isotonic,Validation-block isotonic by season,validation_block,isotonic,season,Summer,4191,936,3255,0.22333571939871152,500,25,True,
validation_block_season_isotonic,Validation-block isotonic by season,validation_block,isotonic,season,Autumn,4285,947,3338,0.22100350058343057,500,25,True,
validation_block_climate_regime_sigmoid,Validation-block sigmoid by climate regime,validation_block,sigmoid,climate_regime,Winter dominant,2780,678,2102,0.24388489208633093,500,25,True,
validation_block_climate_regime_sigmoid,Validation-block sigmoid by climate regime,validation_block,sigmoid,climate_regime,Winter,5253,1149,4104,0.21873215305539692,500,25,True,
validation_block_climate_regime_sigmoid,Validation-block sigmoid by climate regime,validation_block,sigmoid,climate_regime,Uniform,8467,1940,6527,0.22912483760481872,500,25,True,
validation_block_climate_regime_sigmoid,Validation-block sigmoid by climate regime,validation_block,sigmoid,climate_regime,Summer,1748,390,1358,0.2231121281464531,500,25,True,
validation_block_climate_regime_sigmoid,Validation-block sigmoid by climate regime,validation_block,sigmoid,climate_regime,Arid,2403,161,2242,0.06699958385351644,500,25,True,
validation_block_climate_regime_sigmoid,Validation-block sigmoid by climate regime,validation_block,sigmoid,climate_regime,Summer dominant,1921,309,1612,0.16085372201978138,500,25,True,
validation_block_climate_regime_isotonic,Validation-block isotonic by climate regime,validation_block,isotonic,climate_regime,Winter dominant,2780,678,2102,0.24388489208633093,500,25,True,
validation_block_climate_regime_isotonic,Validation-block isotonic by climate regime,validation_block,isotonic,climate_regime,Winter,5253,1149,4104,0.21873215305539692,500,25,True,
validation_block_climate_regime_isotonic,Validation-block isotonic by climate regime,validation_block,isotonic,climate_regime,Uniform,8467,1940,6527,0.22912483760481872,500,25,True,
