bin,mean_predicted_probability,observed_frequency,support
"(0.026099999999999998, 0.029]",0.028094915393723954,0.003723404255319149,1880
"(0.029, 0.0312]",0.030067332318771185,0.005854177754124534,1879
"(0.0312, 0.0347]",0.032858810546061865,0.018094731240021287,1879
"(0.0347, 0.0396]",0.036951983408829187,0.019691325172964343,1879
"(0.0396, 0.0471]",0.04306579378706302,0.030867482703565728,1879
"(0.0471, 0.0594]",0.052628292790084304,0.045769026077700906,1879
"(0.0594, 0.0795]",0.0685598944886375,0.07397551889302821,1879
"(0.0795, 0.112]",0.09451409288611778,0.10377860564129857,1879
"(0.112, 0.164]",0.13576634669146787,0.11495476317189994,1879
"(0.164, 0.256]",0.20553540904315704,0.17243214475784993,1879
"(0.256, 0.395]",0.32252578590814585,0.2613092070250133,1879
"(0.395, 0.561]",0.47780156480453456,0.3714741883980841,1879
"(0.561, 0.716]",0.6426110449668025,0.5162320383182544,1879
"(0.716, 0.817]",0.7718531511092994,0.7014369345396487,1879
"(0.817, 0.862]",0.8421922836979553,0.9154255319148936,1880
