bin,mean_predicted_probability,observed_frequency,support
"(-7.800000000000005e-05, 0.0136]",0.007872613514793937,0.0031914893617021275,1880
"(0.0136, 0.0274]",0.02018913069134047,0.010106382978723405,1880
"(0.0274, 0.046]",0.036286386622097086,0.011702127659574468,1880
"(0.046, 0.0711]",0.05780308434393716,0.019691325172964343,1879
"(0.0711, 0.106]",0.08813164369924126,0.027659574468085105,1880
"(0.106, 0.149]",0.126731390355864,0.05319148936170213,1880
"(0.149, 0.207]",0.17640549109926812,0.07291112293773283,1879
"(0.207, 0.277]",0.24063694557098556,0.10638297872340426,1880
"(0.277, 0.359]",0.3160140166361305,0.11702127659574468,1880
"(0.359, 0.457]",0.4064067681987704,0.17615753060138373,1879
"(0.457, 0.584]",0.5193534330528484,0.25851063829787235,1880
"(0.584, 0.707]",0.644455280446146,0.3569148936170213,1880
"(0.707, 0.832]",0.769446881006485,0.5167642362959021,1879
"(0.832, 0.937]",0.8872996784020919,0.7090425531914893,1880
"(0.937, 0.999]",0.9710847693110355,0.9148936170212766,1880
